N	file	elapsed_s	user_s	sys_s	max_rss_kb	exit_code
0	graf1.txt	0.00	0.00	0.00	NA	NA
0	graf1U.txt	0.00	0.00	0.00	NA	NA
0	graf2.txt	0.00	0.00	0.00	NA	NA
0	graf2U.txt	0.00	0.00	0.00	NA	NA
0	graf3.txt	0.00	0.00	0.00	NA	NA
0	graf3U.txt	0.00	0.00	0.00	NA	NA
0	grafMoj.txt	0.00	0.00	0.00	NA	NA
0	grafMojU.txt	0.00	0.00	0.00	NA	NA
1	graf1.txt	0.00	0.00	0.00	NA	NA
1	graf1U.txt	0.00	0.00	0.00	NA	NA
1	graf2.txt	0.00	0.00	0.00	NA	NA
1	graf2U.txt	0.00	0.00	0.00	NA	NA
1	graf3.txt	0.00	0.00	0.00	NA	NA
1	graf3U.txt	0.00	0.00	0.00	NA	NA
1	grafMoj.txt	0.00	0.00	0.00	NA	NA
1	grafMojU.txt	0.00	0.00	0.00	NA	NA
2	g2a-1.txt	0.00	0.00	0.00	NA	NA
2	g2a-2.txt	0.00	0.00	0.00	NA	NA
2	g2a-3.txt	0.00	0.00	0.00	NA	NA
2	g2a-4.txt	0.02	0.02	0.00	NA	NA
2	g2a-5.txt	0.28	0.27	0.01	NA	NA
2	g2a-6.txt	1.82	1.78	0.03	NA	NA
2	g2b-1.txt	0.00	0.00	0.00	NA	NA
2	g2b-2.txt	0.00	0.00	0.00	NA	NA
2	g2b-3.txt	0.00	0.00	0.00	NA	NA
2	g2b-4.txt	0.02	0.02	0.00	NA	NA
2	g2b-5.txt	0.26	0.26	0.01	NA	NA
2	g2b-6.txt	1.76	1.73	0.02	NA	NA
2	grafMoj.txt	0.00	0.00	0.00	NA	NA
3	g3-1.txt	0.00	0.00	0.00	NA	NA
3	g3-2.txt	0.00	0.00	0.00	NA	NA
3	g3-3.txt	0.00	0.00	0.00	NA	NA
3	g3-4.txt	0.01	0.01	0.00	NA	NA
3	g3-5.txt	0.05	0.04	0.01	NA	NA
3	g3-6.txt	0.51	0.46	0.05	NA	NA
4	d4a-1.txt	0.00	0.00	0.00	NA	NA
4	d4a-2.txt	0.00	0.00	0.00	NA	NA
4	d4a-3.txt	0.00	0.00	0.00	NA	NA
4	d4a-4.txt	0.01	0.00	0.00	NA	NA
4	d4a-5.txt	0.08	0.07	0.01	NA	NA
4	d4a-6.txt	0.50	0.48	0.02	NA	NA
4	d4b-1.txt	0.00	0.00	0.00	NA	NA
4	d4b-2.txt	0.00	0.00	0.00	NA	NA
4	d4b-3.txt	0.00	0.00	0.00	NA	NA
4	d4b-4.txt	0.01	0.00	0.00	NA	NA
4	d4b-5.txt	0.08	0.07	0.01	NA	NA
4	d4b-6.txt	0.46	0.43	0.03	NA	NA
4	u4a-1.txt	0.00	0.00	0.00	NA	NA
4	u4a-2.txt	0.00	0.00	0.00	NA	NA
4	u4a-3.txt	0.00	0.00	0.00	NA	NA
4	u4a-4.txt	0.01	0.01	0.00	NA	NA
4	u4a-5.txt	0.05	0.05	0.01	NA	NA
4	u4a-6.txt	0.40	0.38	0.02	NA	NA
4	u4b-1.txt	0.00	0.00	0.00	NA	NA
4	u4b-2.txt	0.00	0.00	0.00	NA	NA
4	u4b-3.txt	0.00	0.00	0.00	NA	NA
4	u4b-4.txt	0.01	0.00	0.00	NA	NA
4	u4b-5.txt	0.05	0.05	0.01	NA	NA
4	u4b-6.txt	0.39	0.36	0.03	NA	NA
